family	unit	store	v2ecoli_commit	parca_cache	fill_bundle	bundle_kind	ptools_tsv	viz	bytes	view_types	bundle_s3_uri	fill_jobs	sim_data_policy
run1	0	sim199-sim199-cd2-run1-k4-coupled-kla350-seed0-073d-20fe					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	1	sim199-sim199-cd2-run1-k4-coupled-kla350-seed1-6a85-1d6d					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	2	sim199-sim199-cd2-run1-k4-coupled-kla350-seed2-7ce6-072a					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	3	sim199-sim199-cd2-run1-k4-coupled-kla350-seed3-4f6a-d6da					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	4	sim199-sim199-cd2-run1-k4-coupled-kla350-seed4-7b09-4a3e					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	5	sim199-sim199-cd2-run1-k4-coupled-kla350-seed5-2771-f663					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	6	sim199-sim199-cd2-run1-k4-coupled-kla350-seed6-bd42-7878					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	7	sim199-sim199-cd2-run1-k4-coupled-kla350-seed7-6330-d2f3					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	8	sim199-sim199-cd2-run1-k4-coupled-kla350-seed8-bbe9-6c6b					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run1	9	sim199-sim199-cd2-run1-k4-coupled-kla350-seed9-00af-cd5e					0	0	0			cd2fill-run1-multigen-4of5,cd2fill-run1-multigen-4of5-v2,cd2fill-run1-multigen-801	per-seed cache (staged)
run2	sim201	sim201-cd2-run2-j3-refire3-parquet-96b27f38-10x10-dd03			analysis-multigeneration-run2j3	dedicated-fill	30	60	1257443235	ptools_proteins_multigeneration,ptools_rna_multigeneration,ptools_rxns_multigeneration	s3://smsvpctest-shared-sharedbucket60d199d6-abfvwv0day91/vecoli-output/sim201-cd2-run2-j3-refire3-parquet-96b27f38-10x10-dd03/analyses/analysis-multigeneration-run2j3/	cd2fill-run2-multiseed,cd2fill-run2-multiseed-806,cd2fill-run2j3-multigen-6of7,cd2fill-run2j3-multiseed-cd1	explicit: cand2_j3_lam075_simData.cPickle
run2	sim201	sim201-cd2-run2-j3-refire3-parquet-96b27f38-10x10-dd03			analysis-multiseed-run2j3	dedicated-fill	10	4	39984704	cd1_exchange_fluxes,cd1_fluxomics,cd1_higher_order_properties,cd1_metabolomics,cd1_proteomics,cd1_transcriptomics,ptools_metabolites_multiseed,ptools_proteins_multiseed,ptools_rna_multiseed,ptools_rxns_multiseed	s3://smsvpctest-shared-sharedbucket60d199d6-abfvwv0day91/vecoli-output/sim201-cd2-run2-j3-refire3-parquet-96b27f38-10x10-dd03/analyses/analysis-multiseed-run2j3/	cd2fill-run2-multiseed,cd2fill-run2-multiseed-806,cd2fill-run2j3-multigen-6of7,cd2fill-run2j3-multiseed-cd1	explicit: cand2_j3_lam075_simData.cPickle
run3	00	sim200-cd2-run3-sweep-combo00-25fc	96b27f385	ddc1a83	analysis-percell-run3	dedicated-fill	400	400	763352707	ptools_metabolites,ptools_overview,ptools_proteins,ptools_rna,ptools_rxns	s3://smsvpctest-shared-sharedbucket60d199d6-abfvwv0day91/vecoli-output/sim200-cd2-run3-sweep-combo00-25fc/analyses/analysis-percell-run3/	cd2fill-run3-multigen-801,cd2fill-run3-multiseed-806,cd2fill-run3-percell,cd2fill-run3-percell-fixed,cd2fill-run3-percell-v2	AUTO (run_identity.json)
run3	00	sim200-cd2-run3-sweep-combo00-25fc	96b27f385	ddc1a83	analysis-ptools-multiseed	dedicated-fill	5	5	12438562	ptools_metabolites_multiseed,ptools_overview_multiseed,ptools_proteins_multiseed,ptools_rna_multiseed,ptools_rxns_multiseed	s3://smsvpctest-shared-sharedbucket60d199d6-abfvwv0day91/vecoli-output/sim200-cd2-run3-sweep-combo00-25fc/analyses/analysis-ptools-multiseed/	cd2fill-run3-multigen-801,cd2fill-run3-multiseed-806,cd2fill-run3-percell,cd2fill-run3-percell-fixed,cd2fill-run3-percell-v2	AUTO (run_identity.json)
run3	01	sim200-cd2-run3-sweep-combo01-dd9b	96b27f385	ddc1a83	analysis-percell-run3	dedicated-fill	400	400	763054990	ptools_metabolites,ptools_overview,ptools_proteins,ptools_rna,ptools_rxns	s3://smsvpctest-shared-sharedbucket60d199d6-abfvwv0day91/vecoli-output/sim200-cd2-run3-sweep-combo01-dd9b/analyses/analysis-percell-run3/	cd2fill-run3-multigen-801,cd2fill-run3-multiseed-806,cd2fill-run3-percell,cd2fill-run3-percell-fixed,cd2fill-run3-percell-v2	AUTO (run_identity.json)
